,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,0.0,-2.0,0.6828571428571428,0.3142857142857143,0.0028571428571428914,0.9457142857142857,1.3927757316626244,3
1,-2.0,0.0,-1.0,0.6671428571428571,0.3314285714285714,0.0014285714285714457,0.9971428571428571,1.4131987102764993,3
2,-2.0,0.0,2.0,0.6614285714285715,0.33,0.008571428571428508,1.5985714285714285,8.730113192506444,8
3,-2.0,1.0,-2.0,0.6457142857142857,0.35428571428571426,5.551115123125783e-17,1.062857142857143,1.4359149086105625,2
4,-2.0,1.0,-1.0,0.6157142857142858,0.3842857142857143,0.0,1.1528571428571428,1.4603213071269792,2
5,-2.0,1.0,0.0,0.6642857142857143,0.3357142857142857,5.551115123125783e-17,1.0071428571428571,1.4177317139546934,2
6,-2.0,1.0,1.0,0.6371428571428571,0.3628571428571429,0.0,1.0885714285714285,1.4435038100192736,2
7,-2.0,1.0,2.0,0.65,0.35,0.0,1.05,1.4319319762297915,2
8,-2.0,2.0,-2.0,0.6528571428571428,0.34714285714285714,5.551115123125783e-17,1.0414285714285714,1.4292061741284108,2
9,-2.0,2.0,-1.0,0.6542857142857142,0.3457142857142857,5.551115123125783e-17,1.0371428571428571,1.427821998396454,2
10,-2.0,2.0,0.0,0.6285714285714286,0.37142857142857144,0.0,1.1142857142857143,1.4505966129200367,2
11,-2.0,2.0,1.0,0.6357142857142857,0.36428571428571427,5.551115123125783e-17,1.0928571428571427,1.4447201914685877,2
12,-2.0,2.0,2.0,0.6528571428571428,0.34714285714285714,5.551115123125783e-17,1.0414285714285714,1.4292061741284108,2
13,-1.0,-1.0,-2.0,0.7614285714285715,0.23285714285714285,0.0057142857142856995,0.7042857142857143,1.2679538352262154,3
14,-1.0,0.0,-2.0,0.7142857142857143,0.2857142857142857,0.0,0.8571428571428571,1.3562309369660512,2
15,-1.0,0.0,-1.0,0.68,0.32,0.0,0.96,1.4004291187840239,2
16,-1.0,0.0,0.0,0.7,0.2985714285714286,0.0014285714285714457,0.9057142857142857,1.392693555769551,3
17,-1.0,0.0,1.0,0.6814285714285714,0.3171428571428571,0.0014285714285715012,0.9942857142857143,1.7764865192726829,3
18,-1.0,0.0,2.0,0.6928571428571428,0.30428571428571427,0.0028571428571428914,3.47,52.24006938917106,4
19,-1.0,1.0,-2.0,0.6985714285714286,0.30142857142857143,0.0,0.9042857142857142,1.377619571445497,2
20,-1.0,1.0,-1.0,0.7071428571428572,0.29285714285714287,0.0,0.8785714285714286,1.3661965265330513,2
21,-1.0,1.0,0.0,0.6771428571428572,0.32285714285714284,0.0,0.9685714285714285,1.4037088474858723,2
22,-1.0,1.0,1.0,0.6985714285714286,0.30142857142857143,0.0,0.9042857142857142,1.377619571445497,2
23,-1.0,1.0,2.0,0.6942857142857143,0.3057142857142857,0.0,0.9171428571428571,1.3831162001268518,2
24,-1.0,2.0,-2.0,0.6757142857142857,0.32285714285714284,0.0014285714285714457,1.7485714285714287,20.647936107061643,3
25,-1.0,2.0,-1.0,0.68,0.31857142857142856,0.0014285714285713902,0.9828571428571429,1.555733447732097,3
26,-1.0,2.0,0.0,0.6828571428571428,0.3171428571428571,5.551115123125783e-17,0.9514285714285714,1.3970890293671079,2
27,-1.0,2.0,1.0,0.6828571428571428,0.3171428571428571,5.551115123125783e-17,0.9514285714285714,1.3970890293671079,2
28,-1.0,2.0,2.0,0.66,0.34,0.0,1.02,1.422142492996488,2
29,0.0,-2.0,-2.0,0.74,0.2542857142857143,0.005714285714285727,0.7685714285714286,1.306147329403036,3
30,0.0,-2.0,-1.0,0.7285714285714285,0.2642857142857143,0.007142857142857173,0.8,1.322199580639908,3
31,0.0,-1.0,-2.0,0.7342857142857143,0.26571428571428574,0.0,0.7971428571428572,1.3260859645155365,2
32,0.0,-1.0,-1.0,0.7571428571428571,0.24285714285714285,2.7755575615628914e-17,0.7285714285714285,1.2873482362204158,2
33,0.0,-1.0,0.0,0.7271428571428571,0.2714285714285714,0.0014285714285715012,0.8157142857142857,1.334706272497536,3
34,0.0,-1.0,1.0,0.7157142857142857,0.2842857142857143,0.0,0.8528571428571429,1.3541882711414683,2
35,0.0,-1.0,2.0,0.7071428571428572,0.2885714285714286,0.004285714285714226,4.4,60.02426786288164,5
36,0.0,0.0,-2.0,0.7328571428571429,0.2671428571428571,0.0,0.8014285714285714,1.3283518736328623,2
37,0.0,0.0,-1.0,0.72,0.28,0.0,0.84,1.34795983180305,2
38,0.0,0.0,0.0,0.7314285714285714,0.26857142857142857,0.0,0.8057142857142857,1.3306001006446992,2
39,0.0,0.0,1.0,0.74,0.26,0.0,0.78,1.3168436707593214,2
40,0.0,0.0,2.0,0.7328571428571429,0.2671428571428571,0.0,0.8014285714285714,1.3283518736328626,2
41,0.0,1.0,-2.0,0.7257142857142858,0.2742857142857143,0.0,0.8228571428571428,1.3394179579100005,2
42,0.0,1.0,-1.0,0.7171428571428572,0.2814285714285714,0.0014285714285713902,0.86,1.4031846060396362,3
43,0.0,1.0,0.0,0.73,0.26857142857142857,0.0014285714285714457,0.8085714285714286,1.3310147426863135,3
44,0.0,1.0,1.0,0.7285714285714285,0.2714285714285714,5.551115123125783e-17,0.8142857142857143,1.335043864971453,2
45,0.0,1.0,2.0,0.7357142857142858,0.2642857142857143,0.0,0.7928571428571428,1.3238022824950781,2
46,0.0,2.0,1.0,0.7414285714285714,0.25142857142857145,0.0071428571428571175,0.7628571428571429,1.301827858648776,4
47,0.0,2.0,2.0,0.7714285714285715,0.2257142857142857,0.002857142857142836,0.68,1.2546451601251507,3
48,1.0,-2.0,-2.0,0.68,0.32,0.0,0.96,1.4004291187840239,2
49,1.0,-2.0,-1.0,0.6985714285714286,0.30142857142857143,0.0,0.9042857142857142,1.377619571445497,2
50,1.0,-2.0,0.0,0.7014285714285714,0.29714285714285715,0.0014285714285714457,0.8971428571428571,1.3765844223949288,3
51,1.0,-2.0,1.0,0.67,0.33,0.0,0.99,1.4116468329989196,2
52,1.0,-2.0,2.0,0.6942857142857143,0.3057142857142857,0.0,0.9171428571428571,1.3831162001268518,2
53,1.0,-1.0,-2.0,0.7242857142857143,0.2757142857142857,0.0,0.8271428571428572,1.3415790909924412,2
54,1.0,-1.0,-1.0,0.67,0.33,0.0,0.99,1.4116468329989196,2
55,1.0,-1.0,0.0,0.6957142857142857,0.30428571428571427,0.0,0.9128571428571428,1.3812997371410283,2
56,1.0,-1.0,1.0,0.6785714285714286,0.32142857142857145,0.0,0.9642857142857143,1.4020765015674788,2
57,1.0,-1.0,2.0,0.7128571428571429,0.28714285714285714,0.0,0.8614285714285714,1.3582569888733949,2
58,1.0,0.0,-2.0,0.6942857142857143,0.3057142857142857,0.0,0.9171428571428571,1.3831162001268518,2
59,1.0,0.0,-1.0,0.7085714285714285,0.2914285714285714,5.551115123125783e-17,0.8742857142857143,1.3642361982661644,2
60,1.0,0.0,0.0,0.6814285714285714,0.31857142857142856,5.551115123125783e-17,0.9557142857142857,1.3987666460069768,2
