,beta0,gamma0,alpha0,beta,gamma,alpha,p_0,p_k,p_p,structural_zeros,structural_ks,from_nb,y_mean,y_std,n_unique
0,-2.197224577336219,0.0,0.0,0,1.0,0.0,0.26,0.5142857142857142,0.22571428571428576,0.108,0.5,0.392,1.8571428571428572,1.3359232589282197,6
1,-2.197224577336219,0.0,1.0,0,-1.0,0.0,0.12,0.5771428571428572,0.3028571428571428,0.084,0.512,0.404,2.6714285714285713,1.4612612655809882,11
2,-2.197224577336219,0.0,1.0,0,0.0,0.0,0.10571428571428572,0.6114285714285714,0.2828571428571428,0.086,0.548,0.366,2.722857142857143,1.3648442534834826,9
3,-2.197224577336219,0.0,1.0,0,1.0,0.0,0.14857142857142858,0.5542857142857143,0.29714285714285715,0.09,0.494,0.416,2.5628571428571427,1.4621461860924534,9
4,-2.197224577336219,1.0,-1.0,0,-1.0,-1.0,0.2742857142857143,0.6857142857142857,0.040000000000000036,0.094,0.696,0.21,2.1028571428571428,1.3460087905905795,4
5,-2.197224577336219,1.0,-1.0,0,-1.0,0.0,0.24285714285714285,0.6742857142857143,0.08285714285714285,0.106,0.682,0.212,2.1228571428571428,1.3042987586207635,4
6,-2.197224577336219,1.0,-1.0,0,-1.0,1.0,0.19428571428571428,0.7114285714285714,0.0942857142857143,0.104,0.698,0.198,2.3057142857142856,1.2396142428764032,6
7,-2.197224577336219,1.0,-1.0,0,0.0,-1.0,0.18285714285714286,0.7657142857142857,0.05142857142857149,0.084,0.748,0.168,2.3914285714285715,1.2315972410753098,5
8,-2.197224577336219,1.0,-1.0,0,0.0,0.0,0.21142857142857144,0.7371428571428571,0.05142857142857149,0.104,0.722,0.174,2.262857142857143,1.2528673621328918,3
9,-2.197224577336219,1.0,-1.0,0,0.0,1.0,0.21714285714285714,0.7171428571428572,0.06571428571428573,0.1,0.728,0.172,2.2285714285714286,1.2618655013882984,4
10,-2.197224577336219,1.0,-1.0,0,1.0,-1.0,0.2342857142857143,0.6885714285714286,0.07714285714285707,0.106,0.69,0.204,2.2,1.328549201174986,6
11,-2.197224577336219,1.0,-1.0,0,1.0,0.0,0.2057142857142857,0.7371428571428571,0.05714285714285716,0.092,0.7,0.208,2.2857142857142856,1.2409310805950253,5
12,-2.197224577336219,1.0,-1.0,0,1.0,1.0,0.2542857142857143,0.7085714285714285,0.037142857142857255,0.094,0.71,0.196,2.165714285714286,1.3181437971617158,4
13,-2.197224577336219,1.0,0.0,0,-1.0,-1.0,0.23714285714285716,0.7057142857142857,0.05714285714285716,0.124,0.704,0.172,2.182857142857143,1.2939102935397815,4
14,-2.197224577336219,1.0,0.0,0,-1.0,0.0,0.19142857142857142,0.7285714285714285,0.08000000000000007,0.088,0.712,0.2,2.297142857142857,1.2148757325076254,5
15,-2.197224577336219,1.0,0.0,0,0.0,-1.0,0.16285714285714287,0.74,0.0971428571428572,0.078,0.726,0.196,2.4714285714285715,1.5245970727173637,8
16,-2.197224577336219,1.0,0.0,0,0.0,0.0,0.17142857142857143,0.7485714285714286,0.07999999999999996,0.1,0.736,0.164,2.3457142857142856,1.1741833367883068,4
17,-2.197224577336219,1.0,0.0,0,0.0,1.0,0.15714285714285714,0.7371428571428571,0.10571428571428576,0.076,0.72,0.204,2.537142857142857,1.5319118744218543,11
18,-2.197224577336219,1.0,0.0,0,1.0,-1.0,0.1457142857142857,0.7257142857142858,0.12857142857142856,0.086,0.698,0.216,2.565714285714286,1.477615762707684,10
19,-2.197224577336219,1.0,0.0,0,1.0,0.0,0.12285714285714286,0.76,0.1171428571428571,0.062,0.744,0.194,2.44,1.0815461711567562,5
20,-2.197224577336219,1.0,0.0,0,1.0,1.0,0.2342857142857143,0.6685714285714286,0.09714285714285709,0.094,0.67,0.236,2.142857142857143,1.290095777143638,5
21,-2.197224577336219,1.0,1.0,0,-1.0,-1.0,0.14,0.7342857142857143,0.12571428571428567,0.078,0.708,0.214,2.4857142857142858,1.325773355354029,8
22,-2.197224577336219,1.0,1.0,0,-1.0,0.0,0.08857142857142856,0.7542857142857143,0.15714285714285714,0.076,0.708,0.216,2.74,1.2906318836235946,11
23,-2.197224577336219,1.0,1.0,0,0.0,0.0,0.13142857142857142,0.7285714285714285,0.14,0.114,0.726,0.16,2.6228571428571428,1.2624362934446,9
24,-2.197224577336219,1.0,1.0,0,1.0,0.0,0.10571428571428572,0.7542857142857143,0.1399999999999999,0.094,0.706,0.2,2.6714285714285713,1.1319965951560742,8
25,-2.197224577336219,1.0,1.0,0,1.0,1.0,0.19714285714285715,0.6714285714285714,0.13142857142857145,0.126,0.678,0.196,2.3,1.3662950551218538,8
