,beta0,gamma0,alpha0,beta,gamma,alpha,p_0,p_k,p_p,structural_zeros,structural_ks,from_nb,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated
0,-2.197224577336219,-1.0,-1.0,0,-1.0,-1.0,0.52,0.34285714285714286,0.13714285714285712,0.102,0.318,0.58,1.2314285714285715,1.420535317913361,6,1.9280759267795822,0.38586701143895286,0.0844390783830618,True,True
1,-2.197224577336219,-1.0,-1.0,0,-1.0,0.0,0.5057142857142857,0.3514285714285714,0.1428571428571429,0.1,0.326,0.574,1.217142857142857,1.3746550938682147,4,2.2027692896269895,0.37946338610023866,0.08453346310475723,True,True
2,-2.197224577336219,-1.0,-1.0,0,-1.0,1.0,0.4657142857142857,0.32571428571428573,0.20857142857142852,0.12,0.31,0.57,1.3057142857142856,1.4662278086645848,8,2.0197490841780326,0.3652697815955182,0.09034782032133397,True,True
3,-2.197224577336219,-1.0,-1.0,0,0.0,-1.0,0.4942857142857143,0.3028571428571429,0.2028571428571429,0.108,0.294,0.598,1.2057142857142857,1.3847186585749645,6,2.0425497316642724,0.38767676479100566,0.08301631941233593,True,True
4,-2.197224577336219,-1.0,-1.0,0,0.0,0.0,0.5171428571428571,0.3057142857142857,0.17714285714285716,0.096,0.29,0.614,1.1171428571428572,1.324441973488437,4,1.9591851579855686,0.41312706122411197,0.07568573727892605,True,True
5,-2.197224577336219,-1.0,-1.0,0,0.0,1.0,0.5028571428571429,0.30857142857142855,0.18857142857142856,0.102,0.294,0.604,1.2057142857142857,1.376416770931863,6,2.110523052264477,0.3852993117793433,0.08328446512064869,True,True
6,-2.197224577336219,-1.0,-1.0,0,1.0,-1.0,0.4342857142857143,0.33714285714285713,0.2285714285714286,0.098,0.332,0.57,1.4485714285714286,1.8853790371685248,9,0.9963327643288623,0.40885777985939675,0.08446613354317861,True,True
7,-2.197224577336219,-1.0,-1.0,0,1.0,0.0,0.5171428571428571,0.32571428571428573,0.15714285714285714,0.096,0.3,0.604,1.1657142857142857,1.3524768443150936,4,2.0481268023719044,0.3974184547181329,0.07988107821348678,True,True
8,-2.197224577336219,-1.0,-1.0,0,1.0,1.0,0.48,0.4057142857142857,0.11428571428571432,0.088,0.358,0.554,1.3685714285714285,1.4297837672032223,5,2.7718802767902595,0.3288027199335694,0.09873367329088284,True,True
9,-2.197224577336219,-1.0,0.0,0,-1.0,-1.0,0.3742857142857143,0.3628571428571429,0.2628571428571428,0.092,0.318,0.59,1.58,1.5208766888143157,8,3.405423702313945,0.2730845201052331,0.11748960696620354,True,True
10,-2.197224577336219,-1.0,0.0,0,-1.0,0.0,0.32571428571428573,0.3914285714285714,0.28285714285714286,0.106,0.34,0.554,1.6085714285714285,1.3556358912585786,7,11.290397023852028,0.2222789464337441,0.13250011958544441,True,True
11,-2.197224577336219,-1.0,0.0,0,-1.0,1.0,0.3314285714285714,0.34285714285714286,0.32571428571428573,0.118,0.264,0.618,2.06,2.5412020258904415,13,0.9649572582746939,0.3320300832498252,0.09825388681769359,False,True
12,-2.197224577336219,-1.0,0.0,0,0.0,-1.0,0.36857142857142855,0.3142857142857143,0.31714285714285717,0.114,0.264,0.622,2.0,2.5860547331977637,15,0.8533007334963323,0.3569940607010352,0.09245973576013247,True,True
13,-2.197224577336219,-1.0,0.0,0,0.0,0.0,0.3028571428571429,0.3142857142857143,0.3828571428571428,0.094,0.26,0.646,1.522857142857143,1.2839288098264696,7,18.46176467302253,0.2314705704830922,0.12549682438074758,True,True
14,-2.197224577336219,-1.0,0.0,0,0.0,1.0,0.37142857142857144,0.3342857142857143,0.29428571428571426,0.108,0.272,0.62,1.8114285714285714,2.7925167530026114,12,0.5480919079826196,0.4492891959720754,0.07325416653771986,False,True
15,-2.197224577336219,-1.0,0.0,0,1.0,-1.0,0.2885714285714286,0.34285714285714286,0.36857142857142855,0.102,0.324,0.574,1.9114285714285715,1.8467459848895542,12,2.437262458689486,0.24385693632683886,0.12829582880336848,True,True
16,-2.197224577336219,-1.0,0.0,0,1.0,0.0,0.29714285714285715,0.36,0.34285714285714286,0.102,0.296,0.602,1.6485714285714286,1.3326130541871224,7,21.351799220846036,0.20432864113960023,0.13975395632530935,True,True
17,-2.197224577336219,-1.0,0.0,0,1.0,1.0,0.3628571428571429,0.3171428571428571,0.32,0.124,0.276,0.6,1.6342857142857143,1.7907663287564741,11,1.6984360739423012,0.31826075235061635,0.10602250515215654,True,True
18,-2.197224577336219,-1.0,1.0,0,-1.0,-1.0,0.19714285714285715,0.3628571428571429,0.43999999999999995,0.116,0.3,0.584,2.962857142857143,3.495603928889956,18,0.9483743390127405,0.2608754941688104,0.102969458482634,False,True
19,-2.197224577336219,-1.0,1.0,0,-1.0,0.0,0.16285714285714287,0.40285714285714286,0.43428571428571433,0.098,0.3,0.602,2.4657142857142857,1.6834680497652559,10,16.505336013055715,0.10045504612172383,0.19654700542320158,True,True
20,-2.197224577336219,-1.0,1.0,0,-1.0,1.0,0.1742857142857143,0.40285714285714286,0.4228571428571429,0.114,0.3,0.586,4.505714285714285,7.368228973025725,29,0.4077820027355286,0.36241228851890783,0.06438005478754892,False,True
21,-2.197224577336219,-1.0,1.0,0,0.0,-1.0,0.18285714285714286,0.3342857142857143,0.4828571428571429,0.076,0.28,0.644,3.6085714285714285,5.622655330683423,25,0.46496950045389135,0.3645390898810247,0.07091647168649742,False,True
