,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,-1.0,-2.0,0.7371428571428571,0.2557142857142857,0.007142857142857173,0.7771428571428571,1.309825467364282,4
1,-2.0,0.0,-2.0,0.6857142857142857,0.31285714285714283,0.0014285714285714457,0.94,1.3915132097380665,3
2,-2.0,0.0,-1.0,0.66,0.33285714285714285,0.0071428571428571175,1.0085714285714287,1.413175571249653,4
3,-2.0,1.0,-2.0,0.6542857142857142,0.3457142857142857,5.551115123125783e-17,1.0371428571428571,1.4278219983964542,2
4,-2.0,1.0,-1.0,0.6371428571428571,0.3628571428571429,0.0,1.0885714285714285,1.4435038100192736,2
5,-2.0,1.0,0.0,0.6471428571428571,0.3514285714285714,0.0014285714285714457,1.0614285714285714,1.4404530420247503,3
6,-2.0,1.0,1.0,0.6757142857142857,0.3242857142857143,0.0,0.9728571428571429,1.4053262089370726,2
7,-2.0,1.0,2.0,0.64,0.3585714285714286,0.0014285714285713902,1.8671428571428572,20.948012640797664,3
8,-2.0,2.0,-2.0,0.65,0.35,0.0,1.05,1.4319319762297913,2
9,-2.0,2.0,-1.0,0.6357142857142857,0.36428571428571427,5.551115123125783e-17,1.0928571428571427,1.4447201914685877,2
10,-2.0,2.0,0.0,0.6157142857142858,0.3842857142857143,0.0,1.1528571428571428,1.4603213071269792,2
11,-2.0,2.0,1.0,0.6585714285714286,0.3414285714285714,0.0,1.0242857142857142,1.4235838747458973,2
12,-2.0,2.0,2.0,0.6614285714285715,0.3385714285714286,0.0,1.0157142857142858,1.4206867019469502,2
13,-1.0,-1.0,-2.0,0.7128571428571429,0.2814285714285714,0.005714285714285727,0.85,1.3485805604030467,3
14,-1.0,0.0,-2.0,0.69,0.31,5.551115123125783e-17,0.93,1.3884718496437798,2
15,-1.0,0.0,-1.0,0.6871428571428572,0.31285714285714283,0.0,0.9385714285714286,1.3919647662510592,2
16,-1.0,0.0,0.0,0.6785714285714286,0.31857142857142856,0.002857142857142836,0.9685714285714285,1.4108249858906692,4
17,-1.0,0.0,1.0,0.69,0.31,5.551115123125783e-17,0.93,1.3884718496437798,2
