,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,1.0,-1.0,0.2571428571428571,0.6857142857142857,0.05714285714285716,2.1285714285714286,1.3288485652311064,4
1,-2.0,1.0,2.0,0.12857142857142856,0.7285714285714285,0.1428571428571429,2.7714285714285714,1.5148676564515948,7
2,-2.0,2.0,1.0,0.1,0.8571428571428571,0.04285714285714293,2.642857142857143,0.933059705527291,4
3,-2.0,2.0,2.0,0.1,0.8571428571428571,0.04285714285714293,2.6857142857142855,0.9712215100233782,5
4,-2.0,1.0,1.0,0.24285714285714285,0.6857142857142857,0.0714285714285714,2.2714285714285714,1.3397104226522785,5
5,-1.0,1.0,2.0,0.2,0.7571428571428571,0.04285714285714293,2.3857142857142857,1.2544743935771614,5
6,-2.0,1.0,0.0,0.2714285714285714,0.6285714285714286,0.10000000000000009,2.0,1.3513278493843524,4
7,-2.0,1.0,1.0,0.2,0.7428571428571429,0.05714285714285716,2.4714285714285715,1.5201204049510866,5
8,-1.0,1.0,2.0,0.24285714285714285,0.6857142857142857,0.0714285714285714,2.2714285714285714,1.4637793903179772,5
9,-2.0,1.0,-1.0,0.22857142857142856,0.7142857142857143,0.05714285714285716,2.2,1.2921165649395974,3
10,-2.0,2.0,2.0,0.2,0.7571428571428571,0.04285714285714293,2.3714285714285714,1.229721643670214,5
11,-2.0,1.0,-1.0,0.2714285714285714,0.6714285714285714,0.05714285714285727,2.0714285714285716,1.354770728465918,3
12,-2.0,1.0,1.0,0.12857142857142856,0.7714285714285715,0.09999999999999998,2.5142857142857142,1.059708151549108,5
13,-1.0,1.0,2.0,0.3142857142857143,0.6285714285714286,0.05714285714285716,1.957142857142857,1.398090978832625,4
14,-2.0,0.0,1.0,0.2,0.6142857142857143,0.18571428571428572,2.2714285714285714,1.3927496375138753,7
15,-2.0,1.0,0.0,0.21428571428571427,0.7285714285714285,0.05714285714285716,2.242857142857143,1.2676088900511253,3
16,-2.0,1.0,1.0,0.22857142857142856,0.7285714285714285,0.04285714285714293,2.257142857142857,1.2704639605074362,4
17,-1.0,1.0,0.0,0.3,0.6285714285714286,0.0714285714285714,1.9714285714285715,1.382828738821613,4
18,-2.0,0.0,0.0,0.2571428571428571,0.6,0.1428571428571429,2.1285714285714286,1.403116908900113,6
19,-2.0,1.0,-1.0,0.2,0.7285714285714285,0.07142857142857151,2.257142857142857,1.2474404436507125,3
20,-2.0,1.0,0.0,0.22857142857142856,0.6857142857142857,0.08571428571428574,2.157142857142857,1.292517084637056,4
21,-2.0,1.0,1.0,0.18571428571428572,0.6571428571428571,0.15714285714285714,2.342857142857143,1.4232613526147584,6
22,-2.0,1.0,1.0,0.22857142857142856,0.6571428571428571,0.11428571428571432,2.2285714285714286,1.298510055559538,5
23,-1.0,1.0,2.0,0.2571428571428571,0.6714285714285714,0.07142857142857151,2.1857142857142855,1.44756524363345,5
24,-2.0,1.0,0.0,0.2714285714285714,0.6714285714285714,0.05714285714285727,2.0714285714285716,1.3547707284659183,3
25,-2.0,1.0,1.0,0.17142857142857143,0.7,0.12857142857142856,2.4,1.2086643724448038,5
26,-2.0,2.0,2.0,0.2,0.7571428571428571,0.04285714285714293,2.442857142857143,1.3793057935242967,4
27,-2.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.1428571428571429,1.9142857142857144,1.3485672175952783,4
28,-2.0,1.0,0.0,0.15714285714285714,0.7714285714285715,0.0714285714285714,2.414285714285714,1.1356267138132556,4
29,-2.0,1.0,1.0,0.18571428571428572,0.7428571428571429,0.0714285714285714,2.3714285714285714,1.2059205224301555,5
30,-2.0,1.0,-1.0,0.22857142857142856,0.7142857142857143,0.05714285714285716,2.2142857142857144,1.284160551870897,4
31,-2.0,1.0,1.0,0.2,0.7285714285714285,0.07142857142857151,2.3714285714285714,1.342412154807435,5
32,-2.0,1.0,2.0,0.15714285714285714,0.7142857142857143,0.12857142857142856,2.657142857142857,1.5025168670659927,8
33,-2.0,2.0,1.0,0.11428571428571428,0.8285714285714286,0.05714285714285705,2.5714285714285716,1.0010346614252381,4
34,-2.0,2.0,2.0,0.17142857142857143,0.7714285714285715,0.05714285714285705,2.4857142857142858,1.2481041523668124,5
35,-2.0,1.0,0.0,0.2571428571428571,0.7,0.04285714285714293,2.157142857142857,1.3257288319327618,4
36,-2.0,1.0,1.0,0.21428571428571427,0.7285714285714285,0.05714285714285716,2.342857142857143,1.3175043853373023,5
37,-2.0,2.0,1.0,0.2,0.7571428571428571,0.04285714285714293,2.3142857142857145,1.2340913120428438,3
38,-2.0,1.0,0.0,0.17142857142857143,0.7714285714285715,0.05714285714285705,2.3714285714285714,1.18164008561214,3
39,-2.0,1.0,1.0,0.17142857142857143,0.7428571428571429,0.08571428571428563,2.4,1.172140368504669,5
40,-2.0,1.0,-1.0,0.22857142857142856,0.7142857142857143,0.05714285714285716,2.2,1.2921165649395974,3
41,-2.0,1.0,0.0,0.22857142857142856,0.7285714285714285,0.04285714285714293,2.2714285714285714,1.2617152871541621,3
42,-2.0,1.0,1.0,0.15714285714285714,0.7714285714285715,0.0714285714285714,2.5285714285714285,1.200500240798539,6
43,-1.0,1.0,1.0,0.2714285714285714,0.6714285714285714,0.05714285714285727,2.1142857142857143,1.3356088243482889,4
44,-1.0,1.0,2.0,0.2857142857142857,0.6714285714285714,0.04285714285714293,2.085714285714286,1.3592715135759474,4
45,-2.0,0.0,1.0,0.2714285714285714,0.5285714285714286,0.20000000000000007,1.957142857142857,1.35599275665752,5
46,-2.0,1.0,0.0,0.2857142857142857,0.6714285714285714,0.04285714285714293,2.057142857142857,1.3714026912671955,3
47,-2.0,1.0,1.0,0.17142857142857143,0.7142857142857143,0.11428571428571421,2.3,1.183828228824739,4
48,-2.0,2.0,2.0,0.18571428571428572,0.7571428571428571,0.05714285714285716,2.5714285714285716,1.3574424862658707,5
49,-2.0,0.0,1.0,0.22857142857142856,0.5714285714285714,0.20000000000000007,2.2285714285714286,1.4858894625186683,7
50,-2.0,1.0,1.0,0.17142857142857143,0.7571428571428571,0.0714285714285714,2.4714285714285715,1.282224387103126,5
51,-2.0,1.0,0.0,0.22857142857142856,0.6857142857142857,0.08571428571428574,2.157142857142857,1.292517084637056,4
52,-2.0,2.0,2.0,0.14285714285714285,0.8142857142857143,0.04285714285714293,2.5,1.0868115845397743,4
53,-2.0,1.0,1.0,0.21428571428571427,0.6714285714285714,0.11428571428571432,2.242857142857143,1.2902725729974267,5
54,-2.0,1.0,2.0,0.21428571428571427,0.7,0.08571428571428574,2.342857142857143,1.3607938250773075,6
55,-2.0,1.0,0.0,0.3,0.6285714285714286,0.0714285714285714,2.0428571428571427,1.4186717025393583,5
56,-2.0,1.0,1.0,0.2571428571428571,0.6142857142857143,0.12857142857142856,2.1285714285714286,1.3717800619276685,6
57,-2.0,2.0,2.0,0.17142857142857143,0.7714285714285715,0.05714285714285705,2.414285714285714,1.1483177001042313,4
58,-2.0,1.0,1.0,0.22857142857142856,0.6857142857142857,0.08571428571428574,2.157142857142857,1.292517084637056,4
59,-2.0,2.0,1.0,0.14285714285714285,0.8142857142857143,0.04285714285714293,2.4857142857142858,1.0999717670007523,3
60,-2.0,0.0,0.0,0.2714285714285714,0.5285714285714286,0.20000000000000007,1.8428571428571427,1.3257288319327618,4
61,-2.0,0.0,1.0,0.2714285714285714,0.5285714285714286,0.20000000000000007,2.0,1.3726099121798927,6
62,-2.0,1.0,1.0,0.22857142857142856,0.7285714285714285,0.04285714285714293,2.242857142857143,1.2789909324866315,4
63,-2.0,1.0,2.0,0.2,0.7,0.10000000000000009,2.357142857142857,1.2969944552607873,6
64,-2.0,2.0,0.0,0.14285714285714285,0.8142857142857143,0.04285714285714293,2.4857142857142858,1.0999717670007525,3
65,-2.0,2.0,2.0,0.15714285714285714,0.7571428571428571,0.08571428571428574,2.5285714285714285,1.3156959757562223,6
66,-2.0,1.0,0.0,0.22857142857142856,0.7285714285714285,0.04285714285714293,2.2285714285714286,1.2873006086935783,3
67,-2.0,1.0,1.0,0.14285714285714285,0.7285714285714285,0.12857142857142867,2.4285714285714284,1.1865359222644785,6
68,-2.0,2.0,2.0,0.14285714285714285,0.7857142857142857,0.07142857142857151,2.6,1.2324125038760945,6
69,-1.0,1.0,2.0,0.2714285714285714,0.6857142857142857,0.04285714285714293,2.157142857142857,1.358128660163291,5
70,-2.0,1.0,0.0,0.2,0.7428571428571429,0.05714285714285716,2.3142857142857145,1.2222912333864016,4
71,-2.0,1.0,1.0,0.2,0.7428571428571429,0.05714285714285716,2.414285714285714,1.290914260254798,5
72,-2.0,2.0,1.0,0.1,0.8571428571428571,0.04285714285714293,2.6714285714285713,0.9436504599035549,5
73,-2.0,1.0,1.0,0.15714285714285714,0.7571428571428571,0.08571428571428574,2.4285714285714284,1.1493089110786907,5
74,-1.0,0.0,1.0,0.3,0.6,0.09999999999999998,1.9285714285714286,1.3759995425874343,4
75,-2.0,1.0,-1.0,0.2714285714285714,0.6857142857142857,0.04285714285714293,2.1,1.3529356165792574,3
76,-2.0,1.0,1.0,0.2714285714285714,0.6428571428571429,0.08571428571428574,2.1,1.3846989941311527,5
77,-2.0,0.0,1.0,0.17142857142857143,0.6714285714285714,0.15714285714285714,2.557142857142857,1.5001035160968763,8
78,-2.0,1.0,1.0,0.2714285714285714,0.6571428571428571,0.07142857142857151,2.085714285714286,1.3377772733629067,4
79,-2.0,0.0,1.0,0.18571428571428572,0.6285714285714286,0.18571428571428572,2.414285714285714,1.3882828215268617,5
80,-2.0,1.0,1.0,0.2571428571428571,0.6857142857142857,0.05714285714285716,2.1285714285714286,1.3288485652311064,4
81,-1.0,1.0,0.0,0.3,0.6285714285714286,0.0714285714285714,1.957142857142857,1.3876861597085959,3
82,-2.0,1.0,0.0,0.2571428571428571,0.6714285714285714,0.07142857142857151,2.085714285714286,1.3377772733629067,3
83,-2.0,2.0,2.0,0.18571428571428572,0.7428571428571429,0.0714285714285714,2.4285714285714284,1.3029668327658168,5
84,-2.0,1.0,-1.0,0.2714285714285714,0.6857142857142857,0.04285714285714293,2.1142857142857143,1.3464161462651119,4
85,-2.0,1.0,0.0,0.2857142857142857,0.6714285714285714,0.04285714285714293,2.0714285714285716,1.3654263927266277,4
86,-2.0,1.0,1.0,0.22857142857142856,0.7,0.07142857142857151,2.242857142857143,1.2902725729974267,5
87,-2.0,2.0,0.0,0.2,0.7571428571428571,0.04285714285714293,2.3285714285714287,1.2244067308905582,4
88,-1.0,1.0,1.0,0.2571428571428571,0.6714285714285714,0.07142857142857151,2.142857142857143,1.343645423009481,5
89,-2.0,0.0,0.0,0.3,0.5714285714285714,0.12857142857142856,1.9142857142857144,1.3592715135759477,4
90,-2.0,0.0,1.0,0.15714285714285714,0.5428571428571428,0.30000000000000004,2.3142857142857145,1.346416146265112,7
91,-2.0,1.0,0.0,0.2714285714285714,0.6428571428571429,0.08571428571428574,2.0285714285714285,1.35102139108596,4
92,-2.0,1.0,1.0,0.18571428571428572,0.7285714285714285,0.08571428571428574,2.3714285714285714,1.2759926919447775,5
93,-2.0,1.0,0.0,0.24285714285714285,0.6714285714285714,0.08571428571428574,2.1142857142857143,1.313727489696499,4
94,-2.0,1.0,1.0,0.18571428571428572,0.7,0.11428571428571432,2.414285714285714,1.4090068158243014,6
95,-2.0,2.0,0.0,0.14285714285714285,0.8,0.05714285714285716,2.4571428571428573,1.1123250787181513,3
96,-2.0,1.0,-2.0,0.2857142857142857,0.6714285714285714,0.04285714285714293,2.057142857142857,1.3714026912671955,3
97,-2.0,1.0,0.0,0.18571428571428572,0.7285714285714285,0.08571428571428574,2.3,1.2080646877775512,4
98,-2.0,1.0,1.0,0.11428571428571428,0.8285714285714286,0.05714285714285705,2.6285714285714286,1.1442538049691315,4
99,-2.0,1.0,2.0,0.18571428571428572,0.7,0.11428571428571432,2.6142857142857143,1.5444417137073634,7
100,-2.0,1.0,0.0,0.24285714285714285,0.7,0.05714285714285716,2.1714285714285713,1.3074084175139515,4
101,-2.0,1.0,1.0,0.21428571428571427,0.7142857142857143,0.0714285714285714,2.342857142857143,1.3714026912671957,5
102,-1.0,1.0,1.0,0.2571428571428571,0.7,0.04285714285714293,2.142857142857143,1.3328156344851116,3
103,-2.0,1.0,0.0,0.2714285714285714,0.6142857142857143,0.11428571428571432,1.9714285714285715,1.3510213910859603,4
104,-2.0,1.0,1.0,0.2,0.7571428571428571,0.04285714285714293,2.3714285714285714,1.229721643670214,5
105,-1.0,1.0,2.0,0.24285714285714285,0.6857142857142857,0.0714285714285714,2.257142857142857,1.3479529760614346,6
106,-2.0,1.0,-1.0,0.2,0.7571428571428571,0.04285714285714293,2.3142857142857145,1.2340913120428438,3
107,-2.0,1.0,1.0,0.21428571428571427,0.7,0.08571428571428574,2.3285714285714287,1.2934778259129007,5
108,-2.0,1.0,2.0,0.22857142857142856,0.6714285714285714,0.10000000000000009,2.357142857142857,1.4549835826128337,6
109,-2.0,2.0,1.0,0.2,0.7571428571428571,0.04285714285714293,2.3142857142857145,1.2340913120428438,3
110,-1.0,1.0,2.0,0.18571428571428572,0.7571428571428571,0.05714285714285716,2.4571428571428573,1.2590048322789964,5
111,-2.0,1.0,1.0,0.14285714285714285,0.7571428571428571,0.10000000000000009,2.6714285714285713,1.481493846279203,7
112,-2.0,1.0,2.0,0.21428571428571427,0.7142857142857143,0.0714285714285714,2.2857142857142856,1.264256178667997,5
113,-2.0,2.0,1.0,0.22857142857142856,0.7285714285714285,0.04285714285714293,2.2285714285714286,1.2873006086935783,3
114,-2.0,0.0,0.0,0.2857142857142857,0.5428571428571428,0.17142857142857149,1.9142857142857144,1.3268995914838158,4
115,-2.0,1.0,0.0,0.2857142857142857,0.6285714285714286,0.08571428571428574,2.0,1.3620104492139977,4
116,-2.0,1.0,1.0,0.11428571428571428,0.7714285714285715,0.11428571428571421,2.5428571428571427,1.0589263674872933,5
117,-2.0,0.0,1.0,0.18571428571428572,0.5142857142857142,0.30000000000000004,2.1857142857142855,1.4375185659076524,7
118,-2.0,1.0,1.0,0.15714285714285714,0.7285714285714285,0.11428571428571432,2.4857142857142858,1.188627964892041,6
119,-2.0,1.0,2.0,0.22857142857142856,0.7142857142857143,0.05714285714285716,2.3285714285714287,1.5105563671383724,5
120,-1.0,1.0,1.0,0.2571428571428571,0.6714285714285714,0.07142857142857151,2.1,1.3313390883302203,4
121,-1.0,1.0,2.0,0.24285714285714285,0.6714285714285714,0.08571428571428574,2.2142857142857144,1.3285369215670575,5
122,-2.0,0.0,0.0,0.2857142857142857,0.5857142857142857,0.12857142857142856,1.9428571428571428,1.381930117213343,5
123,-2.0,1.0,1.0,0.2,0.7285714285714285,0.07142857142857151,2.2714285714285714,1.2385291483633947,4
124,-2.0,1.0,0.0,0.12857142857142856,0.8142857142857143,0.05714285714285716,2.6142857142857143,1.1583703838452413,5
125,-2.0,1.0,1.0,0.17142857142857143,0.7285714285714285,0.09999999999999998,2.5,1.271197085028717,7
126,-1.0,1.0,2.0,0.2714285714285714,0.6714285714285714,0.05714285714285727,2.1714285714285713,1.4036332624313683,5
127,-2.0,1.0,0.0,0.2857142857142857,0.6142857142857143,0.09999999999999998,2.0,1.3513278493843524,4
128,-2.0,1.0,1.0,0.18571428571428572,0.7428571428571429,0.0714285714285714,2.5,1.4521348601882378,6
129,-1.0,1.0,2.0,0.32857142857142857,0.6,0.07142857142857151,1.9428571428571428,1.3923779501657085,3
130,-2.0,0.0,1.0,0.24285714285714285,0.5428571428571428,0.2142857142857143,1.9142857142857144,1.3268995914838158,5
131,-2.0,1.0,0.0,0.22857142857142856,0.7285714285714285,0.04285714285714293,2.242857142857143,1.2789909324866315,4
