,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,1.0,-1.0,0.2523809523809524,0.7142857142857143,0.033333333333333326,2.1857142857142855,1.3119931563764626,4
1,-2.0,1.0,0.0,0.22380952380952382,0.7047619047619048,0.0714285714285714,2.223809523809524,1.2726060222814997,5
2,-2.0,1.0,1.0,0.23333333333333334,0.6714285714285714,0.09523809523809523,2.257142857142857,1.3486024765590754,7
3,-2.0,1.0,2.0,0.1523809523809524,0.7666666666666667,0.08095238095238089,2.7333333333333334,1.6296690988083578,10
4,-2.0,2.0,1.0,0.2,0.7714285714285715,0.02857142857142858,2.357142857142857,1.2104297265991362,4
5,-2.0,2.0,2.0,0.18095238095238095,0.7857142857142857,0.033333333333333326,2.466666666666667,1.1825417978525163,5
6,-1.0,1.0,2.0,0.26666666666666666,0.6857142857142857,0.04761904761904767,2.1714285714285713,1.362218447145817,6
7,-2.0,1.0,-1.0,0.28095238095238095,0.6904761904761905,0.02857142857142858,2.104761904761905,1.354939992483359,4
8,-2.0,1.0,0.0,0.24285714285714285,0.7285714285714285,0.02857142857142858,2.2142857142857144,1.300270753654521,3
9,-2.0,1.0,1.0,0.24285714285714285,0.6666666666666666,0.09047619047619049,2.2,1.3618169680781096,7
10,-2.0,2.0,1.0,0.1619047619047619,0.8095238095238095,0.02857142857142858,2.480952380952381,1.1374945386562405,5
11,-2.0,2.0,2.0,0.17142857142857143,0.8,0.02857142857142847,2.5047619047619047,1.2149295332613381,7
12,-1.0,1.0,1.0,0.29523809523809524,0.6666666666666666,0.03809523809523807,2.052380952380952,1.3702648951531382,4
13,-2.0,1.0,-1.0,0.2523809523809524,0.7095238095238096,0.03809523809523807,2.176190476190476,1.3133123184687934,4
14,-2.0,1.0,0.0,0.23809523809523808,0.7,0.06190476190476191,2.1857142857142855,1.3010064982187377,5
15,-2.0,1.0,1.0,0.20952380952380953,0.7095238095238096,0.08095238095238089,2.3190476190476192,1.3117500081364506,7
16,-2.0,2.0,0.0,0.16666666666666666,0.8142857142857143,0.01904761904761909,2.461904761904762,1.137013712438802,3
17,-2.0,2.0,1.0,0.14285714285714285,0.8238095238095238,0.03333333333333344,2.5238095238095237,1.0813356803034753,5
18,-2.0,2.0,2.0,0.15714285714285714,0.8238095238095238,0.01904761904761909,2.5,1.1034959670439655,4
19,-2.0,1.0,-1.0,0.3047619047619048,0.6476190476190476,0.04761904761904756,1.9904761904761905,1.386850330476693,3
20,-2.0,1.0,0.0,0.22857142857142856,0.7333333333333333,0.03809523809523818,2.2476190476190476,1.273813942239629,4
21,-2.0,1.0,1.0,0.19523809523809524,0.7285714285714285,0.07619047619047625,2.3666666666666667,1.234989620216084,6
22,-2.0,2.0,1.0,0.2,0.7714285714285715,0.02857142857142858,2.3714285714285714,1.2238236641372218,5
23,-2.0,2.0,2.0,0.12857142857142856,0.8333333333333334,0.03809523809523807,2.619047619047619,1.0882667170700122,6
24,-1.0,1.0,2.0,0.24285714285714285,0.6857142857142857,0.0714285714285714,2.2,1.3189817734374827,6
25,-2.0,1.0,-1.0,0.26666666666666666,0.7095238095238096,0.023809523809523836,2.1523809523809523,1.3361442232339236,3
26,-2.0,1.0,0.0,0.2619047619047619,0.680952380952381,0.05714285714285716,2.1095238095238096,1.3314038214583999,4
27,-2.0,1.0,1.0,0.18571428571428572,0.7047619047619048,0.10952380952380947,2.3285714285714287,1.249552209608954,7
28,-2.0,1.0,2.0,0.1761904761904762,0.7095238095238096,0.11428571428571421,2.580952380952381,1.5484578059052643,9
29,-2.0,2.0,1.0,0.18095238095238095,0.7857142857142857,0.033333333333333326,2.4,1.1746932817634124,4
30,-2.0,2.0,2.0,0.18571428571428572,0.7952380952380952,0.01904761904761909,2.4571428571428573,1.1903002831988176,5
31,-2.0,1.0,-2.0,0.29523809523809524,0.680952380952381,0.023809523809523725,2.0714285714285716,1.3728895442151106,4
32,-2.0,1.0,-1.0,0.3142857142857143,0.6285714285714286,0.05714285714285716,1.957142857142857,1.3913854678571451,4
33,-2.0,1.0,0.0,0.2523809523809524,0.7095238095238096,0.03809523809523807,2.2,1.3117065840649829,5
34,-2.0,1.0,1.0,0.19523809523809524,0.7,0.10476190476190483,2.3095238095238093,1.2620347972912376,6
35,-2.0,2.0,1.0,0.14285714285714285,0.8285714285714286,0.02857142857142858,2.5285714285714285,1.0812197865979718,4
36,-2.0,2.0,2.0,0.15714285714285714,0.8095238095238095,0.033333333333333326,2.5428571428571427,1.28687575699597,6
37,-1.0,1.0,1.0,0.30952380952380953,0.6428571428571429,0.04761904761904756,2.0095238095238095,1.4005825042120992,5
38,-2.0,0.0,0.0,0.28095238095238095,0.5476190476190477,0.17142857142857137,1.8952380952380952,1.3478589048004777,5
39,-2.0,1.0,-1.0,0.30952380952380953,0.6714285714285714,0.01904761904761909,2.033333333333333,1.391647446600605,3
40,-2.0,1.0,0.0,0.24285714285714285,0.6619047619047619,0.09523809523809523,2.138095238095238,1.321510007158583,6
41,-2.0,1.0,1.0,0.1380952380952381,0.7857142857142857,0.07619047619047625,2.5,1.0904105718998716,5
42,-2.0,2.0,1.0,0.13333333333333333,0.8333333333333334,0.033333333333333326,2.5476190476190474,1.0445204699170063,4
43,-2.0,2.0,2.0,0.12857142857142856,0.8380952380952381,0.033333333333333326,2.6619047619047618,1.1512324124351827,6
44,-1.0,2.0,0.0,0.319047619047619,0.6666666666666666,0.014285714285714346,2.019047619047619,1.4004848947080113,4
