,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
0,-2.0,-2.0,-2.0,0.14285714285714285,0.18571428571428572,0.6714285714285715,1.2714285714285714,0.9312828703885243,4
1,-2.0,-2.0,-1.0,0.11428571428571428,0.18571428571428572,0.7,1.3571428571428572,0.9173957198680939,4
2,-2.0,-1.0,-2.0,0.18571428571428572,0.3142857142857143,0.5,1.457142857142857,1.1252788934267444,4
3,-2.0,-1.0,-1.0,0.14285714285714285,0.34285714285714286,0.5142857142857143,1.6428571428571428,1.1425335980943085,5
4,-2.0,0.0,-2.0,0.08571428571428572,0.4714285714285714,0.44285714285714284,1.8571428571428572,1.1201153445485728,3
5,-2.0,0.0,-1.0,0.12857142857142856,0.5428571428571428,0.3285714285714286,2.0,1.1671841502435296,4
6,-2.0,0.0,0.0,0.14285714285714285,0.5285714285714286,0.3285714285714286,2.057142857142857,1.2144744707755823,5
7,-2.0,1.0,-2.0,0.18571428571428572,0.7,0.11428571428571432,2.2142857142857144,1.2381947722373323,3
8,-2.0,1.0,-1.0,0.22857142857142856,0.6857142857142857,0.08571428571428574,2.142857142857143,1.2997849798289023,3
9,-2.0,1.0,0.0,0.11428571428571428,0.7142857142857143,0.17142857142857137,2.4,1.0954451150103321,5
10,-2.0,1.0,1.0,0.07142857142857142,0.8,0.12857142857142856,2.757142857142857,0.9236931902589998,6
11,-2.0,2.0,1.0,0.12857142857142856,0.8,0.0714285714285714,2.4857142857142858,1.073297197287873,4
12,-2.0,2.0,2.0,0.14285714285714285,0.7857142857142857,0.07142857142857151,2.4714285714285715,1.1257387728416788,4
13,-1.0,-2.0,-2.0,0.2857142857142857,0.18571428571428572,0.5285714285714286,1.1,1.0236337660298833,4
14,-1.0,-2.0,-1.0,0.37142857142857144,0.04285714285714286,0.5857142857142857,0.7857142857142857,0.7593448194762538,4
15,-1.0,-1.0,-1.0,0.24285714285714285,0.32857142857142857,0.42857142857142855,1.5,1.1887150534341144,4
16,-1.0,0.0,-1.0,0.18571428571428572,0.5428571428571428,0.27142857142857146,1.9142857142857144,1.2481041523668124,4
17,-1.0,0.0,0.0,0.2714285714285714,0.5142857142857142,0.2142857142857144,1.8285714285714285,1.318446918701209,4
18,-1.0,1.0,-1.0,0.2857142857142857,0.6428571428571429,0.0714285714285714,2.0,1.3726099121798927,3
19,-1.0,1.0,0.0,0.2714285714285714,0.6428571428571429,0.08571428571428574,2.0285714285714285,1.3510213910859603,4
20,-1.0,1.0,1.0,0.2714285714285714,0.6571428571428571,0.07142857142857151,2.057142857142857,1.3501015988147531,4
21,-1.0,2.0,1.0,0.2571428571428571,0.7,0.04285714285714293,2.142857142857143,1.3328156344851114,3
