unique_id,n,pi1,pi2,model,file,rate_MSE,rate_MAE,rate_R2,count_MSE,count_MAE,count_R2,count_Accuracy
n=200_pi1=0.4_pi2=0.4,200,0.4,0.4,ZKIPModel_EM,n=200_pi1=0.4_pi2=0.4.txt,2.2196,1.3314,0.0135,4.5,4.5,-1.0,0.45
n=200_pi1=0.4_pi2=0.4,200,0.4,0.4,ZkICMP,n=200_pi1=0.4_pi2=0.4.txt,2.3447,1.2712,-0.0421,4.5,1.5,-1.0,0.45
n=200_pi1=0.4_pi2=0.4,200,0.4,0.4,HistGradientBoostingRegressor,n=200_pi1=0.4_pi2=0.4.txt,2.3024,1.3226,-0.0233,2.525,1.375,-0.1222,0.1111
n=200_pi1=0.4_pi2=0.4,200,0.4,0.4,PoissonRandomForestRegressor,n=200_pi1=0.4_pi2=0.4.txt,4.0398,1.6401,-0.7955,4.25,1.7,-0.8889,0.1
n=1000_pi1=0.2_pi2=0.2,1000,0.2,0.2,ZKIPModel_EM,n=1000_pi1=0.2_pi2=0.2.txt,3.1123,1.3611,0.3541,5.135,5.135,-0.0657,0.355
n=1000_pi1=0.2_pi2=0.2,1000,0.2,0.2,ZkICMP,n=1000_pi1=0.2_pi2=0.2.txt,4.173,1.4783,0.1339,5.12,1.47,-0.0626,0.38
n=1000_pi1=0.2_pi2=0.2,1000,0.2,0.2,HistGradientBoostingRegressor,n=1000_pi1=0.2_pi2=0.2.txt,3.9131,1.4179,0.1879,3.945,1.385,0.1813,0.2987
n=1000_pi1=0.2_pi2=0.2,1000,0.2,0.2,PoissonRandomForestRegressor,n=1000_pi1=0.2_pi2=0.2.txt,3.7119,1.401,0.2296,3.765,1.385,0.2186,0.24
n=10000_pi1=0.3_pi2=0.3,10000,0.3,0.3,ZKIPModel_EM,n=10000_pi1=0.3_pi2=0.3.txt,3.8859,1.5315,0.204,6.1995,6.1995,-0.2699,0.442
n=10000_pi1=0.3_pi2=0.3,10000,0.3,0.3,ZkICMP,n=10000_pi1=0.3_pi2=0.3.txt,4.1609,1.5201,0.1477,5.523,1.507,-0.1313,0.4385
n=10000_pi1=0.3_pi2=0.3,10000,0.3,0.3,HistGradientBoostingRegressor,n=10000_pi1=0.3_pi2=0.3.txt,3.9559,1.5464,0.1897,4.0355,1.5295,0.1734,0.1461
n=10000_pi1=0.3_pi2=0.3,10000,0.3,0.3,PoissonRandomForestRegressor,n=10000_pi1=0.3_pi2=0.3.txt,3.9984,1.5641,0.181,4.0725,1.5495,0.1658,0.125
n=2000_pi1=0.2_pi2=0.2,2000,0.2,0.2,ZKIPModel_EM,n=2000_pi1=0.2_pi2=0.2.txt,3.6546,1.4205,0.4832,6.9175,6.9175,0.0218,0.395
n=2000_pi1=0.2_pi2=0.2,2000,0.2,0.2,ZkICMP,n=2000_pi1=0.2_pi2=0.2.txt,5.2683,1.5397,0.255,7.0225,1.5725,0.007,0.3975
n=2000_pi1=0.2_pi2=0.2,2000,0.2,0.2,HistGradientBoostingRegressor,n=2000_pi1=0.2_pi2=0.2.txt,5.0092,1.545,0.2917,5.115,1.535,0.2767,0.2308
n=2000_pi1=0.2_pi2=0.2,2000,0.2,0.2,PoissonRandomForestRegressor,n=2000_pi1=0.2_pi2=0.2.txt,4.7458,1.5213,0.3289,4.8275,1.5075,0.3174,0.2
n=5000_pi1=0.2_pi2=0.2,5000,0.2,0.2,ZKIPModel_EM,n=5000_pi1=0.2_pi2=0.2.txt,3.3339,1.3784,0.3604,5.676,5.676,-0.0889,0.374
n=5000_pi1=0.2_pi2=0.2,5000,0.2,0.2,ZkICMP,n=5000_pi1=0.2_pi2=0.2.txt,4.4804,1.4877,0.1405,5.34,1.518,-0.0244,0.369
